year_radica,count_a,count_de,tipo_predio_zona,categoria_ruralidad_2024,valor
2022,2,11,URBANO,Ciudades y aglomeraciones,350000000
2023,2,6,URBANO,Ciudades y aglomeraciones,100000000
2023,2,2,URBANO,Ciudades y aglomeraciones,625000000
2023,2,20,URBANO,Ciudades y aglomeraciones,2600000000
2022,1,2,URBANO,Ciudades y aglomeraciones,90000000
2023,2,2,URBANO,Ciudades y aglomeraciones,93000000
2021,1,1,URBANO,Ciudades y aglomeraciones,160000000
2022,2,1,URBANO,Ciudades y aglomeraciones,300000000
2022,2,1,URBANO,Ciudades y aglomeraciones,250000000
2022,1,2,URBANO,Ciudades y aglomeraciones,135000000
2021,1,9,URBANO,Ciudades y aglomeraciones,250000000
2021,1,1,URBANO,Ciudades y aglomeraciones,400000000
2023,4,2,URBANO,Ciudades y aglomeraciones,830000000
2022,1,1,URBANO,Ciudades y aglomeraciones,2000000000
2022,1,4,URBANO,Ciudades y aglomeraciones,800000000
2023,2,2,URBANO,Ciudades y aglomeraciones,1300000000
2023,2,2,URBANO,Ciudades y aglomeraciones,520504992
2022,1,6,URBANO,Ciudades y aglomeraciones,752145980
2023,2,1,URBANO,Ciudades y aglomeraciones,600000000
2023,2,2,URBANO,Ciudades y aglomeraciones,2800000000
2022,1,1,URBANO,Ciudades y aglomeraciones,320000000
2021,1,1,URBANO,Ciudades y aglomeraciones,3750795.0
2023,1,4,URBANO,Ciudades y aglomeraciones,750000000
2023,2,2,URBANO,Ciudades y aglomeraciones,106600000
2023,2,2,URBANO,Ciudades y aglomeraciones,112000000
2023,4,2,URBANO,Ciudades y aglomeraciones,650000000
2021,1,1,URBANO,Ciudades y aglomeraciones,900000000
2022,2,1,URBANO,Ciudades y aglomeraciones,150000000
2023,1,2,URBANO,Ciudades y aglomeraciones,298000000
2023,2,6,URBANO,Ciudades y aglomeraciones,600000000
2023,1,1,URBANO,Ciudades y aglomeraciones,155000000
2022,1,2,URBANO,Ciudades y aglomeraciones,110000000
2021,1,1,URBANO,Ciudades y aglomeraciones,991699970
2023,2,4,URBANO,Ciudades y aglomeraciones,610000000
2022,1,1,URBANO,Ciudades y aglomeraciones,1400000000
2023,1,1,URBANO,Ciudades y aglomeraciones,1714221950
2023,4,2,URBANO,Ciudades y aglomeraciones,3800000000
2022,1,1,URBANO,Ciudades y aglomeraciones,70000000
2023,4,2,URBANO,Ciudades y aglomeraciones,200000000
2021,2,1,URBANO,Ciudades y aglomeraciones,900000000
2022,1,1,URBANO,Ciudades y aglomeraciones,95000000
2023,1,1,URBANO,Ciudades y aglomeraciones,510000000
2021,1,1,URBANO,Ciudades y aglomeraciones,1800000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,3200000.0
2023,1,1,URBANO,Ciudades y aglomeraciones,606000000
2022,1,1,URBANO,Ciudades y aglomeraciones,297000000
2022,1,1,URBANO,Ciudades y aglomeraciones,136000000
2021,2,1,URBANO,Ciudades y aglomeraciones,250000000
2022,2,1,URBANO,Ciudades y aglomeraciones,180000000
2022,1,1,URBANO,Ciudades y aglomeraciones,218000000
2022,2,4,URBANO,Ciudades y aglomeraciones,700000000
2023,2,1,URBANO,Ciudades y aglomeraciones,193000000
2023,2,1,URBANO,Ciudades y aglomeraciones,680000000
2022,4,1,URBANO,Ciudades y aglomeraciones,752000000
2023,4,2,URBANO,Ciudades y aglomeraciones,4000000000
2021,1,1,URBANO,Ciudades y aglomeraciones,825299010
2021,1,1,URBANO,Ciudades y aglomeraciones,140000000
2022,1,2,URBANO,Ciudades y aglomeraciones,260000000
2021,2,6,URBANO,Ciudades y aglomeraciones,1000000000
2023,1,1,URBANO,Ciudades y aglomeraciones,40000000
2023,2,2,URBANO,Ciudades y aglomeraciones,4500000.0
2021,5,2,URBANO,Ciudades y aglomeraciones,170000000
2021,1,1,URBANO,Ciudades y aglomeraciones,4500000.0
2022,2,1,URBANO,Ciudades y aglomeraciones,742000000
2022,1,1,URBANO,Ciudades y aglomeraciones,590000000
2021,1,4,URBANO,Ciudades y aglomeraciones,250000000
2023,2,2,SIN INFORMACION,Ciudades y aglomeraciones,85000.0
2023,1,1,URBANO,Ciudades y aglomeraciones,250000000
2021,1,1,URBANO,Ciudades y aglomeraciones,260000000
2023,2,2,URBANO,Rural,4000000.0
2022,4,1,URBANO,Ciudades y aglomeraciones,923000000
2023,2,2,URBANO,Ciudades y aglomeraciones,2500000000
2023,2,2,URBANO,Ciudades y aglomeraciones,168000000
2021,1,3,URBANO,Ciudades y aglomeraciones,970000000
2022,1,1,URBANO,Ciudades y aglomeraciones,1395000060
2023,2,2,URBANO,Ciudades y aglomeraciones,80000000
2023,1,2,URBANO,Ciudades y aglomeraciones,140000000
2022,1,6,URBANO,Ciudades y aglomeraciones,830000000
2022,1,1,URBANO,Ciudades y aglomeraciones,1520000000
2022,1,1,SIN INFORMACION,Ciudades y aglomeraciones,1520000000
2022,2,3,URBANO,Ciudades y aglomeraciones,240000000
2022,1,2,URBANO,Ciudades y aglomeraciones,235000000
2022,1,1,URBANO,Ciudades y aglomeraciones,180000000
2023,1,1,URBANO,Ciudades y aglomeraciones,582000000
2022,1,1,URBANO,Ciudades y aglomeraciones,130000000
2021,1,1,URBANO,Ciudades y aglomeraciones,5699999700
2023,1,2,URBANO,Ciudades y aglomeraciones,1150000000
2023,4,2,URBANO,Ciudades y aglomeraciones,520000000
2022,1,2,URBANO,Ciudades y aglomeraciones,1870000000
2022,1,2,URBANO,Ciudades y aglomeraciones,1100000000
2023,3,1,URBANO,Ciudades y aglomeraciones,1050000000
2021,2,1,URBANO,Ciudades y aglomeraciones,3750000.0
2021,5,1,URBANO,Ciudades y aglomeraciones,95520000
2022,1,2,URBANO,Ciudades y aglomeraciones,435000000
2022,1,2,URBANO,Ciudades y aglomeraciones,435000000
2022,1,6,URBANO,Ciudades y aglomeraciones,780000000
2023,2,4,URBANO,Ciudades y aglomeraciones,700000000
2023,2,6,URBANO,Ciudades y aglomeraciones,630000000
2022,1,1,URBANO,Ciudades y aglomeraciones,35000000
2023,1,1,URBANO,Ciudades y aglomeraciones,1600000000
2021,1,5,URBANO,Ciudades y aglomeraciones,2167500030
2022,1,1,URBANO,Ciudades y aglomeraciones,971619970
2023,2,2,URBANO,Ciudades y aglomeraciones,5000000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,90000000
2021,1,1,URBANO,Ciudades y aglomeraciones,1506000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,3500000.0
2020,1,1,URBANO,Rural,4000000.0
2023,3,4,URBANO,Ciudades y aglomeraciones,343000000
2021,2,1,URBANO,Ciudades y aglomeraciones,532000000
2022,1,1,URBANO,Ciudades y aglomeraciones,14000000
2021,3,1,URBANO,Ciudades y aglomeraciones,466302336
2022,1,1,URBANO,Ciudades y aglomeraciones,1400000.0
2023,1,2,URBANO,Ciudades y aglomeraciones,300000000
2022,1,1,URBANO,Ciudades y aglomeraciones,4500000.0
2021,1,1,URBANO,Ciudades y aglomeraciones,317500000
2022,1,3,URBANO,Ciudades y aglomeraciones,750000000
2021,1,1,URBANO,Rural,6000000.0
2022,4,4,URBANO,Ciudades y aglomeraciones,250000000
2022,1,1,URBANO,Ciudades y aglomeraciones,920000000
2022,1,2,URBANO,Ciudades y aglomeraciones,500000000
2023,1,1,URBANO,Ciudades y aglomeraciones,1500000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,186000000
2023,2,2,URBANO,Ciudades y aglomeraciones,537000000
2023,1,3,URBANO,Ciudades y aglomeraciones,620000000
2022,1,1,URBANO,Ciudades y aglomeraciones,50000000
2021,1,3,URBANO,Ciudades y aglomeraciones,1480000.0
2023,2,1,URBANO,Ciudades y aglomeraciones,170050000
2023,2,1,URBANO,Ciudades y aglomeraciones,170050000
2021,1,1,URBANO,Ciudades y aglomeraciones,250000000
2022,1,1,URBANO,Ciudades y aglomeraciones,258224000
2023,3,1,URBANO,Ciudades y aglomeraciones,417000000
2021,1,1,URBANO,Ciudades y aglomeraciones,900000000
2023,2,2,URBANO,Ciudades y aglomeraciones,215000000
2023,1,1,URBANO,Ciudades y aglomeraciones,450000000
